"meshim.dashboard.components.migrationdialog.str_pre_upgrade_task_1","1.エージェントのメールアドレスの確認","1. E-Mail-Adressen von Agenten bestätigen","Dialog description task","https://drive.google.com/open?id=1g48EmHmxvY3SgeS_Bd7WWp3NFLGT4Fkf"
"meshim.dashboard.components.migrationdialog.str_pre_upgrade_task_2","2.IP制限設定の確認","2. IP-Beschränkungseinstellungen überprüfen","Dialog description task","https://drive.google.com/open?id=1g48EmHmxvY3SgeS_Bd7WWp3NFLGT4Fkf"
"meshim.dashboard.components.migrationdialog.str_pre_upgrade_task_3","3.SAMLプロバイダーへのチャット専用エージェントの追加","3. Nur-Chat-Agenten zu SAML-Anbieter hinzufügen","Dialog description task","https://drive.google.com/open?id=1g48EmHmxvY3SgeS_Bd7WWp3NFLGT4Fkf"
"meshim.dashboard.components.migrationdialog.str_pre_upgrade_task_4","4.統合されたWebウィジェットへの更新","4. Auf das integrierte Web Widget migrieren","Dialog description task","https://drive.google.com/open?id=1g48EmHmxvY3SgeS_Bd7WWp3NFLGT4Fkf"
"meshim.dashboard.components.newfeaturedialog.str_availability","* Chat Premium / Enterpriseでご利用いただけます。","*Für Kunden mit dem Chat Premium/Enterprise-Plan verfügbar.","Enterprise launch wizard's page 2 & 3 bottom note","https://zendesk.box.com/s/vdl3vwnrdllq04bw3zra69zlddhhyp7z"
