"Job ID";"Internal ID";"Task ID";"Project ID";"Source";"Target";"Created";"Created by";"Job due date";"Project due date";"File";"Extension";"Workflow";"Workflow level";"Job status";"Job status changed";"Project status";"Project status changed";"Linguist";"Vendor";"Wordcount";"Currency";"Rate";"Price";"Owner";"Client";"Domain";"Subdomain";"Cost Center";"Business Unit"
"202082472";"2";"96M7qJCyNyO8lQIn_dc5";"q7LTSJLjo0mSoqvPTvxef4";"de";"en_us";"26-05-2020 13:09:54";"bg_support";"";"";"VALUES_JJMMTT_XXX_GEXXXXVT-Grundlagenermittlung (1).xlsm";"xlsm";"";"1";"NEW";"";"NEW";"";"";"";"2669";"";"0";"0";"bg_support";"";"";"";"";""
"202091266";"10";"tMfbqJCyNyi3KQIn_dc6";"m4tYxYq1SRSLpWs7BsXPL5";"en";"de_at";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091267";"11";"TaKMn6OCnyn3KQIn_dc6";"m4tYxYq1SRSLpWs7BsXPL5";"en";"de_de";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091268";"12";"2ZvqYEwCihv3KQIn_dc5";"m4tYxYq1SRSLpWs7BsXPL5";"en";"en_gb";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091269";"13";"3ZvqYEwCihv3KQIn_dc6";"m4tYxYq1SRSLpWs7BsXPL5";"en";"en_us";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091270";"14";"4ZvqYEwCihv3KQIn_dc5";"m4tYxYq1SRSLpWs7BsXPL5";"en";"es_ar";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091271";"15";"5ZvqYEwCihv3KQIn_dc6";"m4tYxYq1SRSLpWs7BsXPL5";"en";"es_es";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091272";"16";"6ZvqYEwCihv3KQIn_dc5";"m4tYxYq1SRSLpWs7BsXPL5";"en";"es_us";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091273";"17";"7ZvqYEwCihv3KQIn_dc6";"m4tYxYq1SRSLpWs7BsXPL5";"en";"fr_ca";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
"202091274";"18";"8ZvqYEwCihv3KQIn_dc5";"m4tYxYq1SRSLpWs7BsXPL5";"en";"fr_fr";"26-05-2020 14:56:13";"dk_support";"";"";"test_missing_lg.xlsx";"xlsx";"";"1";"COMPLETED";"26-05-2020 14:57:39";"NEW";"";"";"";"6";"";"0";"0";"dk_support";"";"";"";"";""
